,Date,Crew,Site,Peddle.Time..min.,Species,TL..mm.,Reward.Tag..,X2nd.Reward.Tag..,Radio.Tag.Frequency,Code,Combined,Lat,Long
405,,,76,,ALB,400,2426,NA,150.333,I-12,150.333I-12,33.83220167,-86.05502
165,12/8/22,TJMAX,98,,LMB,357,5017,NA,150.333,I-13,150.333I-13,33.79970833,-86.07332
6,12/8/22,MN,157,51:13:00,LMB,483,544,543,150.333,I-14,150.333I-14,33.87420833,-86.054745
409,,,106,,LMB,467,1595,NA,150.333,I-15,150.333I-15,33.88588,-86.03622
384,,TJMAX,106,42:33:00,LMB,418,1600,NA,150.333,I-16,150.333I-16,33.88669,-86.11275
399,,,84,,ALB,498,4139,NA,150.333,I-17,150.333I-17,33.81706,-86.05528
37,12/7/22,MN,123,1:15 (hour),ALB,424,1422,1429,150.333,I-18,150.333I-18,33.86515,-86.10371
386,,,99,,ALB,434,5045,5046,150.333,I-19,150.333I-19,,
667,1/2/23,NATMAX,31,32:26:00,LMB,464,2412,NA,150.333,I-2,150.333I-2,33.98914667,-85.99891
207,12/8/22,MarcusMax,101,,ALB,437,5033,NA,150.333,I-20,150.333I-20,33.80755,-86.06368
661,1/2/23,NATMAX,88,29:24:00,LMB,352,2416,NA,150.333,I-21,150.333I-21,33.79874,-86.05613
692,1/6/23,MaxParker,91,49:16:00,ALB,390,5075,NA,150.333,I-22,150.333I-22,33.79301,-86.0606
664,1/2/23,NATMAX,91,43,LMB,372,5086,NA,150.333,I-24,150.333I-24,,
700,1/6/23,MaxParker,97,19:17,ALB,360,4355,4356,150.333,I-26,150.333I-26,33.78451,-86.06366
717,1/4/23,NATMAX,12,58,ALB,354,5069,NA,150.333,I-3,150.333I-3,,
678,1/3/23,NATMAX,21,39:06:00,LMB,439,4498,NA,150.333,I-4,150.333I-4,34.00945,-85.99737
762,1/4/23,TJMARCUS,122,70:53:00,ALB,430,2143,NA,150.333,I-5,150.333I-5,33.87134,-86.0601
748,1/6/23,TJMARCUS,123,73:15:00,ALB,415,1758,NA,150.333,I-6,150.333I-6,33.85458,-86.11718
13,12/8/22,MN,70,48:30:00,LMB,446,537,NA,150.333,I-75,150.333I-75,,
219,12/8/22,MarcusMax,101,,ALB,489,2432,NA,150.333,I-9,150.333I-9,33.78272,-86.05813
330,7-Dec,TJMAX,197,36:05:00,ALB,451,61,60,150.333,J-33,150.333J-33,,
141,12/6/22,TJMAX,38,,LMB,485,1461,NA,150.333,J-34,150.333J-34,,
62,12/6/22,TJMAX,36,,LMB,402,1451,NA,150.333,J-35,150.333J-35,33.9704,-85.97835
315,12/5/22,MarcusNat,169,,LMB,501,2,NA,150.333,J-37,150.333J-37,33.93507,-85.96968
309,12/5/22,MarcusNat,169,,LMB,498,3,NA,150.333,J-38,150.333J-38,,
256,6-Dec,MarcusNat,168,73,LMB,422,140,NA,150.333,J-39,150.333J-39,,
10,12/8/22,MN,70,48:30:00,LMB,424,2394,NA,150.333,J-40,150.333J-40,33.83901,-86.08587
343,,TJMAX,33,,ALB,445,1703,NA,150.333,J-41,150.333J-41,34.06684,-85.90802
363,,TJMAX,193,42:50:00,LMB,367,66,NA,150.333,J36,150.333J36,33.98721,-86.01929
337,,TJMAX,33,,ALB,452,1709,NA,150.333,L-84,150.333L-84,,
183,12/8/22,MarcusMax,198,,ALB,394,5011,5012,150.333,L-85,150.333L-85,33.9611,-85.97175
97,12/5/22,TJMAX,177,,LMB,520,741,NA,150.333,L-86,150.333L-86,33.97012,-85.9859
534,12/12/22,TJ/Max,75,57:54:00,ALB,428,4024,NA,150.333,L-87,150.333L-87,,
267,6-Dec,MarcusNat,50,,LMB,511,1432,NA,150.333,L-88,150.333L-88,33.86497,-86.10351
119,12/5/22,TJMAX,42,,LMB,383,1477,NA,150.333,L-89,150.333L-89,,
131,12/6/22,TJMAX,43,39:40:00,LMB,476,2447,NA,150.333,L-90,150.333L-90,,
325,,TJMAX,180,45,ALB,415,88,NA,150.333,L-91,150.333L-91,33.93604,-85.9545
211,12/8/22,MarcusMax,101,,ALB,492,4056,NA,150.333,L-92,150.333L-92,33.80409,-86.07245
600,12/12/22,MarcusNatalie,203,32:33:00,LMB,369,4117,NA,150.333,L-93,150.333L-93,34.02077667,-85.98333333
129,12/5/22,TJMAX,42,,LMB,360,716,NA,150.333,L-94,150.333L-94,33.94847,-85.95351
789,1/4/23,TJMARCUS,66,42:11:00,LMB,449,1784,1782,150.333,L-95,150.333L-95,33.87283,-86.06324
720,1/4/23,NATMAX,6,47:00:00,ALB,376,4494,413,150.333,L-96,150.333L-96,,
729,1/5/23,NATMAX,101,56:57:00,ALB,374,5077,5076,150.333,L-97,150.333L-97,33.80555,-86.06627
709,1/2/23,NATMAX,91,43:00:00,ALB,410,5087,NA,150.333,L-99,150.333L-99,,
694,1/6/23,MaxParker,95,38:56:00,ALB,434,5072,5073,150.33,I-23,150.333I-23,,
