Site,ReleaseEvent,LatDecimalDegrees,LongDecimalDegrees
135,1,33.973401,-85.990617
136,1,33.96988,-85.978689
137,1,33.970256,-85.977322
138,1,33.962145,-85.967651
139,1,33.964455,-85.966057
140,1,33.960049,-85.968606
141,1,33.950268,-85.958675
142,1,33.954285,-85.95864
143,1,33.946857,-85.95375
144,1,33.954027,-85.953742
145,1,33.955723,-85.952685
146,1,33.944761,-85.950209
147,1,33.936091,-85.952023
148,1,33.933015,-85.958906
149,1,33.930575,-85.974789
150,1,33.928046,-85.985395
151,1,33.935336,-85.995921
152,1,33.944001,-86.008671
153,1,33.944658,-86.013532
154,1,33.94455,-86.019781
155,1,33.938058,-86.020724
156,1,33.942113,-86.024158
157,1,33.936613,-86.031618
158,1,33.938343,-86.027046
159,1,33.9326,-86.03168
160,1,33.925796,-86.042979
161,1,33.921775,-86.054582
162,1,33.91916,-86.058842
163,1,33.915813,-86.060407
164,1,33.911357,-86.064011
165,1,33.903648,-86.069675
166,1,33.896275,-86.068052
167,1,33.896298,-86.063793
168,1,33.890281,-86.062174
169,1,33.883594,-86.051845
170,1,33.884361,-86.048635
171,1,33.886979,-86.048295
172,1,33.885125,-86.046434
173,1,33.882048,-86.044318
174,1,33.88483,-86.035522
175,1,33.877335,-86.044752
176,1,33.870798,-86.058803
177,1,33.865452,-86.061535
178,1,33.85935,-86.052388
179,1,33.859405,-86.044698
180,1,33.859982,-86.033879
181,1,33.855563,-86.035491
182,1,33.850611,-86.048822
183,1,33.84273,-86.06119
184,1,33.83505,-86.054558
185,1,33.834095,-86.04851
186,1,33.829887,-86.047746
187,1,33.829313,-86.042737
188,1,33.831001,-86.036593
189,1,33.826507,-86.034182
190,1,33.826533,-86.042857
191,1,33.820252,-86.051702
192,1,33.820919,-86.049583
193,1,33.819665,-86.045349
194,1,33.816571,-86.038869
195,1,33.820119,-86.029189
196,1,33.814292,-86.034948
197,1,33.813125,-86.04217
198,1,33.816402,-86.05255
199,1,33.810995,-86.062206
200,1,33.803451,-86.055039
201,1,33.80002,-86.058231
202,1,33.795197,-86.057131
203,1,33.790726,-86.05716
204,1,33.789698,-86.053475
1,2,34.01628551,-85.94557137
2,2,34.01680262,-85.92957953
3,2,34.01807257,-85.92402852
4,2,34.01428108,-85.91328515
5,2,34.00933431,-85.90584915
6,2,34.00596444,-85.90323052
7,2,33.9975159,-85.90323048
8,2,33.98876932,-85.8935841
9,2,33.99338299,-85.88539554
10,2,33.99961511,-85.88293573
11,2,33.9908578,-85.88332756
12,2,33.98761449,-85.8981915
13,2,33.9990964,-85.90549288
14,2,34.01145924,-85.91107092
15,2,34.01355925,-85.92179977
16,2,34.00822565,-85.92344695
17,2,33.99858897,-85.92415462
18,2,34.00172281,-85.92973903
19,2,34.00891505,-85.9275209
20,2,34.01500363,-85.9260727
21,2,34.01572051,-85.94111653
22,2,34.01210059,-85.93846803
23,2,34.01436952,-85.94040426
24,2,34.01236499,-85.94901232
25,2,34.01063806,-85.95522414
26,2,34.00719688,-85.95680718
27,2,34.01054997,-85.96464629
28,2,34.01719545,-85.97772954
29,2,34.01826296,-85.9888284
30,2,34.01256544,-85.9945184
31,2,34.00530715,-85.9992684
32,2,33.99501705,-85.99977852
33,2,33.99581705,-85.99383139
34,2,33.98346575,-85.99794196
35,2,33.97843336,-85.99412534
36,2,33.97008002,-85.98417974
37,2,33.97308528,-85.97917557
38,2,33.96399742,-85.97012871
39,2,33.966921,-85.96429853
40,2,33.95959794,-85.96293012
41,2,33.95791902,-85.96367204
42,2,33.95273164,-85.95827413
43,2,33.94967998,-85.95514884
44,2,33.95914295,-85.95627928
45,2,33.94844029,-85.95134739
46,2,33.93932905,-85.95093867
47,2,33.93360177,-85.95417948
48,2,33.93127289,-85.96998798
49,2,33.92832637,-85.98369413
50,2,33.93405915,-85.99320838
51,2,33.94244957,-86.00531957
52,2,33.94287632,-86.01391303
53,2,33.94443643,-86.01982404
54,2,33.93686054,-86.02179289
55,2,33.93892098,-86.02896857
56,2,33.93525302,-86.0319258
57,2,33.93310833,-86.0304162
58,2,33.92613424,-86.04277462
59,2,33.92074898,-86.05445562
60,2,33.91679264,-86.06017531
61,2,33.91322137,-86.06218007
62,2,33.90271324,-86.06921664
63,2,33.90025294,-86.06523263
64,2,33.89083695,-86.06408546
65,2,33.88197744,-86.05206192
66,2,33.88418897,-86.05015104
67,2,33.88663442,-86.04866362
68,2,33.8858574,-86.04491396
69,2,33.88276337,-86.04180611
70,2,33.87898657,-86.0409414
71,2,33.87195876,-86.05455109
72,2,33.86547084,-86.06186689
73,2,33.85859905,-86.05218741
74,2,33.8590745,-86.04381273
75,2,33.8473324,-86.05024701
76,2,33.84068838,-86.06346255
77,2,33.83680058,-86.05161749
78,2,33.83221368,-86.04883187
79,2,33.83002654,-86.0456985
80,2,33.82597368,-86.04563492
81,2,33.81720088,-86.05499323
82,2,33.81840407,-86.04780647
83,2,33.81580705,-86.0404117
84,2,33.81326834,-86.03991357
85,2,33.81677395,-86.05132649
86,2,33.81125326,-86.06176509
87,2,33.80388358,-86.05562737
88,2,33.79843895,-86.05704445
89,2,33.79294474,-86.05583841
90,2,33.79167422,-86.05046446
91,2,33.78712945,-86.05288195
92,2,33.78433463,-86.06472162
93,2,33.78070822,-86.07290034
94,2,33.78912488,-86.0719763
95,2,33.79115824,-86.08377878
96,2,33.79135072,-86.07857039
97,2,33.78956151,-86.0677914
98,2,33.79642056,-86.06634637
99,2,33.79982434,-86.07441521
100,2,33.80549759,-86.07971097
101,2,33.80626246,-86.06637535
102,2,33.81217166,-86.07207726
103,2,33.81141801,-86.08779813
104,2,33.8063268,-86.10240601
105,2,33.81020276,-86.09668973
106,2,33.81577185,-86.09011654
